English,Greek
a,ένα
ability,ικανότητα
able,ικανός
about,σχετικά με
above,πάνω από
accept,αποδέχομαι
according,σύμφωνα με
account,λογαριασμός
across,απέναντι
act,υποκρίνομαι
action,δράση
activity,δραστηριότητα
actually,πράγματι
add,Προσθήκη
address,διεύθυνση
administration,διαχείριση
admit,ομολογώ
adult,ενήλικας
affect,επηρεάζουν
after,μετά
again,πάλι
against,κατά
age,ηλικία
agency,πρακτορείο
agent,μέσο
ago,πριν
agree,συμφωνώ
agreement,συμφωνία
ahead,εμπρός
air,αέρας
all,όλα
allow,επιτρέπω
almost,σχεδόν
alone,μόνος
along,κατά μήκος
already,ήδη
also,επίσης
although,αν και
always,πάντα
American,Αμερικανός
among,αναμεταξύ
amount,ποσό
analysis,ανάλυση
and,και
animal,ζώο
another,αλλο
answer,απάντηση
any,όποιος
anyone,ο καθενας
anything,Οτιδήποτε
appear,εμφανίζομαι
apply,ισχύουν
approach,πλησιάζω
area,περιοχή
argue,λογομαχώ
arm,μπράτσο
around,περίπου
arrive,φθάνω
art,τέχνη
article,άρθρο
artist,καλλιτέχνης
as,όπως και
ask,παρακαλώ
assume,υποθέτω
at,στο
attack,επίθεση
attention,προσοχή
attorney,δικηγόρος
audience,ακροατήριο
author,συγγραφέας
authority,εξουσία
available,διαθέσιμος
avoid,αποφύγει
away,Μακριά
baby,μωρό
back,πίσω
bad,κακό
bag,τσάντα
bank,τράπεζα
bar,μπαρ
base,βάση
be,είναι
beat,Ρυθμός
beautiful,πανεμορφη
because,επειδή
become,γίνομαι
bed,κρεβάτι
before,πριν
begin,αρχίζουν
behavior,η ΣΥΜΠΕΡΙΦΟΡΑ
behind,πίσω
believe,πιστεύω
benefit,όφελος
best,καλύτερος
better,καλύτερα
between,μεταξύ
beyond,πέρα
big,μεγάλο
bill,νομοσχέδιο
billion,δισεκατομμύριο
bit,κομμάτι
black,μαύρος
blood,αίμα
blue,μπλε
board,σανίδα
body,σώμα
book,Βιβλίο
born,γεννημένος
both,και τα δυο
box,κουτί
boy,αγόρι
break,Διακοπή
bring,να φερεις
brother,αδελφός
budget,προϋπολογισμός
build,χτίζω
building,Κτίριο
business,επιχείρηση
but,αλλά
buy,αγορά
by,με
call,κλήση
camera,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ
campaign,καμπάνια
can,μπορώ
cancer,Καρκίνος
capital,κεφάλαιο
card,κάρτα
care,Φροντίδα
career,καριέρα
carry,μεταφέρω
case,υπόθεση
catch,σύλληψη
cause,αιτία
cell,κύτταρο
center,κέντρο
central,κεντρικός
century,αιώνας
certain,βέβαιος
certainly,σίγουρα
chair,καρέκλα
challenge,πρόκληση
chance,ευκαιρία
change,αλλαγή
character,χαρακτήρας
charge,χρέωση
check,έλεγχος
child,παιδί
choice,επιλογή
choose,επιλέγω
church,Εκκλησία
citizen,πολίτης
city,πόλη
civil,εμφύλιος
claim,απαίτηση
class,τάξη
clear,Σαφή
clearly,σαφώς
close,Κλείσε
coach,προπονητής
cold,κρύο
collection,συλλογή
